episode,difficulty,reward,solver_score,solver_success,path_length,loss_avg,empty,wall,lava,treasure,enemy,loss_list
0,7,-332.030077825325,-20,0,2,2.1800137188292528,42,316,15,9,16,"[4.136003017425537, 4.1234259605407715, 3.957368850708008, 4.263118743896484, 4.251804351806641, 3.9623119831085205, 3.812410354614258, 4.1290082931518555, 3.9548752307891846, 3.7569565773010254, 4.020265579223633, 3.7924866676330566, 4.1269049644470215, 3.849757432937622, 3.5173065662384033, 3.8954129219055176, 3.8493130207061768, 3.7890853881835938, 3.895993232727051, 3.4506592750549316, 3.453122615814209, 3.9426302909851074, 4.302395343780518, 3.99017333984375, 4.107117652893066, 4.164830207824707, 3.87545108795166, 4.366607189178467, 4.015270709991455, 4.011909008026123, 3.0625545978546143, 3.5242395401000977, 4.14068603515625, 3.9637632369995117, 3.4850873947143555, 3.476039171218872, 3.5056114196777344, 3.8563294410705566, 3.8701281547546387, 3.460573673248291, 3.180229663848877, 3.770719289779663, 3.6679177284240723, 3.605539321899414, 3.0479180812835693, 3.0363821983337402, 3.8723483085632324, 3.574252128601074, 2.4532012939453125, 2.9973373413085938, 3.172300338745117, 3.801741123199463, 3.0025815963745117, 2.541273355484009, 2.8634438514709473, 2.458004951477051, 2.390688419342041, 2.440873146057129, 2.2630488872528076, 2.4768753051757812, 2.322711944580078, 2.241694450378418, 2.576754093170166, 2.1007533073425293, 2.1375460624694824, 1.5991942882537842, 2.069242238998413, 1.2689883708953857, 1.6731126308441162, 1.180429220199585, 1.2147791385650635, 1.152097463607788, 1.3830190896987915, 0.7635745406150818, 1.000789761543274, 0.974662184715271, 0.6167812347412109, 0.7718648910522461, 1.0675004720687866, 0.5450364947319031, 0.9612330198287964, 0.4434150755405426, 0.8034271597862244, 0.9364522695541382, 0.7758210897445679, 0.7517539262771606, 0.3547409474849701, 0.29280102252960205, 0.27647238969802856, 0.2701444625854492, 0.24441267549991608, 0.6292442083358765, 0.18328061699867249, 0.23430544137954712, 0.19381777942180634, 0.2285652607679367, 0.5289222002029419, 0.15041543543338776, 0.13225680589675903, 0.12262007594108582, 0.1456853151321411, 0.517566978931427, 0.14828909933567047, 0.12792064249515533, 0.11739683151245117, 0.1339343786239624, 0.12717647850513458, 0.11827646940946579, 0.15030518174171448, 0.528109073638916, 0.1445593386888504, 0.1369073987007141, 0.5006604194641113, 0.1057068407535553, 0.11171923577785492, 0.11342379450798035, 0.10999611020088196, 0.11752328276634216, 0.5041338205337524, 0.1230524331331253, 0.09191173315048218, 0.118806391954422, 0.4880392849445343, 0.13886766135692596, 0.5101770162582397, 0.11474357545375824, 0.11230289936065674, 0.48139920830726624, 0.10421669483184814, 0.12363467365503311, 0.10735586285591125, 0.4776187837123871, 0.4723261594772339, 0.4842432141304016, 0.11710059642791748, 0.11989431083202362, 0.4981113076210022, 0.11654701828956604, 0.4853021800518036, 0.12714236974716187, 0.505776584148407, 0.11548113822937012, 0.5037968158721924, 0.10773158818483353, 0.10891831666231155, 0.1356082558631897, 0.5024082660675049, 0.5058479905128479, 0.11359316855669022, 0.10009872168302536, 0.11219428479671478, 0.13055108487606049, 0.11785700172185898, 0.11820302903652191, 0.5081056356430054, 0.13669447600841522, 0.1056184470653534, 0.11579521000385284, 0.5554546117782593, 0.8915267586708069, 0.9406828284263611, 0.11154647916555405, 0.1153460294008255, 0.8182525038719177, 0.12053221464157104, 0.4155389964580536, 0.9374713897705078, 0.6539702415466309, 1.1689687967300415, 0.7143360376358032, 0.8839878439903259, 0.4343600273132324, 0.953036904335022, 0.10708479583263397, 0.8193491101264954, 0.43380534648895264, 1.3453720808029175, 1.625411868095398, 0.7553344964981079, 0.4137539863586426, 0.28282874822616577, 1.4913556575775146, 0.2760903835296631, 1.1367685794830322, 1.5418713092803955, 1.1546331644058228, 0.6993714570999146, 1.1096506118774414, 0.2465638816356659, 1.0186315774917603, 1.6983799934387207, 0.13777387142181396, 1.0767724514007568, 0.6609187126159668, 0.7201944589614868, 1.2411024570465088, 1.0016382932662964, 2.2839155197143555, 0.8837708234786987, 1.3151930570602417, 1.107480525970459, 0.8988552093505859, 2.1063880920410156, 2.179872989654541, 1.5017368793487549, 3.0255026817321777, 1.2886903285980225, 1.6584429740905762, 1.27442467212677, 1.5976797342300415, 2.0882227420806885, 0.974615216255188, 1.483408808708191, 1.9086189270019531, 1.2789924144744873, 1.4701837301254272, 0.9961570501327515, 0.8690433502197266, 1.9080440998077393, 1.657358169555664, 1.7910220623016357, 1.571099042892456, 1.8069885969161987, 2.41149640083313, 1.7180300951004028, 0.709343433380127, 2.5718393325805664, 1.5341397523880005, 1.3164231777191162, 1.779517650604248, 1.9251644611358643, 2.1845903396606445, 1.97930908203125, 1.9105150699615479, 1.732820749282837, 2.2231528759002686, 1.4302315711975098, 2.878573417663574, 2.198676347732544, 1.5442794561386108, 1.7639610767364502, 2.397749662399292, 1.4295127391815186, 1.5527141094207764, 1.6627925634384155, 1.526807427406311, 2.671863555908203, 2.1756110191345215, 2.390265464782715, 2.7328200340270996, 1.1370034217834473, 0.9783083200454712, 2.3194751739501953, 2.8780832290649414, 2.8684020042419434, 3.5772643089294434, 2.359117031097412, 2.969564199447632, 2.3996591567993164, 2.341348886489868, 2.682377338409424, 2.266566276550293, 2.32846736907959, 1.692180871963501, 2.0864241123199463, 2.5433428287506104, 2.473719596862793, 1.3432735204696655, 1.9461441040039062, 3.0703787803649902, 1.7537546157836914, 2.129682779312134, 2.2941784858703613, 1.793327808380127, 2.283292055130005, 2.045731782913208, 2.021782875061035, 1.900370717048645, 1.3881375789642334, 2.9860239028930664, 2.650189161300659, 2.830050468444824, 3.453404426574707, 2.0598583221435547, 2.8986496925354004, 2.204040288925171, 2.4049601554870605, 2.634014129638672, 1.936564326286316, 2.175326108932495, 2.100111961364746, 2.8135151863098145, 2.3867430686950684, 2.022005081176758, 2.0440664291381836, 1.7103445529937744, 2.648411989212036, 2.6733791828155518, 2.8552098274230957, 2.4143588542938232, 2.4250690937042236, 3.322134494781494, 3.002918243408203, 3.631458282470703, 1.9051138162612915, 3.2018158435821533, 1.7890492677688599, 2.12115740776062, 2.651005983352661, 2.9968883991241455, 2.8399343490600586, 1.7304431200027466, 2.480358600616455, 2.262160062789917, 3.1126084327697754, 3.5913257598876953, 2.1842641830444336, 1.6966266632080078, 2.130462884902954, 3.259690046310425, 2.6163625717163086, 3.1520466804504395, 2.940816879272461, 2.3788719177246094, 3.5821003913879395, 2.9371607303619385, 4.032742977142334, 4.132323265075684, 3.2214717864990234, 3.4060728549957275, 3.3426084518432617, 3.8523449897766113, 3.0873923301696777, 4.4634199142456055, 2.113849639892578, 2.7415003776550293, 1.8713488578796387, 2.9255363941192627, 1.6508506536483765, 2.3661046028137207, 3.583538293838501, 2.4526658058166504, 4.002107620239258, 1.9982402324676514, 3.0126657485961914, 3.1435060501098633, 2.558802843093872, 2.3649840354919434, 2.5299158096313477, 2.3823249340057373, 4.071123123168945, 2.665825843811035, 3.113095283508301, 2.3811261653900146, 3.5755465030670166, 3.618440866470337, 3.021029472351074, 2.6357603073120117, 3.775390386581421, 2.2396504878997803, 2.2832140922546387, 2.6411046981811523, 2.6795711517333984, 3.7453513145446777, 2.6854324340820312, 2.3661537170410156, 2.1466104984283447, 2.8528921604156494, 3.503725051879883, 2.666779041290283, 2.6962027549743652, 2.6491761207580566, 3.5274858474731445, 4.4628400802612305, 3.5946216583251953, 3.5733437538146973, 3.059502363204956, 3.6231768131256104, 3.3708691596984863, 3.201108932495117, 1.9997036457061768, 4.127788066864014, 3.0709853172302246, 3.7138800621032715, 3.5214357376098633, 3.2087972164154053, 3.029855728149414, 3.0764083862304688, 3.0175957679748535, 3.926886558532715, 3.1690597534179688, 4.745732307434082, 3.8136825561523438, 3.435805320739746, 3.169833183288574, 3.607085704803467, 3.8356051445007324, 3.8480679988861084, 3.3812572956085205, 3.6694247722625732, 3.9449543952941895, 4.021971702575684, 3.2505154609680176, 2.6606638431549072, 4.0458879470825195, 4.855866432189941, 3.468621015548706, 2.339639902114868, 3.327301263809204, 2.3781914710998535, 2.4460904598236084, 2.840440511703491, 2.718381881713867, 2.7040581703186035, 3.0928244590759277, 2.5599985122680664, 4.342014312744141, 4.697317123413086, 2.5646378993988037, 3.2892508506774902, 3.1826553344726562, 3.407122850418091, 3.8973875045776367, 3.407320499420166, 3.65095853805542, 3.970691680908203, 3.2447502613067627, 3.7490994930267334, 3.10825252532959, 2.6522839069366455, 3.815640449523926, 3.6143407821655273, 3.5933496952056885, 3.673110246658325, 4.008296012878418, 5.166399955749512, 3.435392379760742, 3.1927008628845215, 4.198695182800293, 2.994856834411621, 3.2783491611480713, 3.779109477996826, 3.0767874717712402, 2.9721343517303467, 2.866032123565674, 3.1079015731811523, 3.7429189682006836, 3.578488826751709, 2.7999343872070312, 3.131751298904419, 1.9807322025299072, 3.111802577972412, 2.9398844242095947, 3.5602970123291016, 3.108633518218994, 2.9754250049591064, 2.0474934577941895, 4.080378532409668, 4.315430641174316, 2.766106605529785, 2.8757834434509277, 2.398344039916992, 2.9482250213623047, 2.862478017807007, 3.2738091945648193, 2.9482386112213135, 3.254621982574463, 3.4817967414855957, 2.1214475631713867, 2.9243061542510986, 1.8631867170333862, 3.058323383331299, 2.155548095703125, 3.0327465534210205, 2.445882797241211, 2.721721649169922, 2.730626106262207, 3.584010124206543, 4.6285400390625, 1.9192407131195068, 2.577011823654175, 2.540839672088623, 2.333958864212036, 1.804452896118164, 2.202558755874634, 2.0902414321899414, 2.7382049560546875, 2.2668726444244385, 2.2487664222717285, 2.6123199462890625, 3.0548348426818848, 1.2152447700500488, 1.7830137014389038, 2.027642250061035, 2.172360420227051, 1.8277475833892822, 1.969374656677246, 1.722646951675415, 3.7651264667510986, 2.65490460395813, 3.3763413429260254, 1.677091360092163, 1.5486319065093994, 2.6324262619018555, 1.5400941371917725, 2.0693087577819824, 1.1985833644866943, 1.390873908996582, 1.4666752815246582, 1.4556968212127686, 1.6420140266418457, 2.324167013168335, 1.1413459777832031, 1.7042852640151978, 1.138974905014038, 1.4521844387054443, 1.329569935798645, 0.9389542937278748, 1.4715102910995483, 1.2993073463439941, 1.3490853309631348, 1.371455192565918, 2.391415596008301, 2.195481777191162, 2.511007070541382, 1.844251275062561, 0.9943135976791382, 1.2650728225708008, 1.098958969116211, 1.0173746347427368, 1.2769954204559326, 1.2328120470046997, 1.232456922531128, 1.1431198120117188, 1.980979323387146, 1.5627385377883911, 0.7832574844360352]"
1,8,-636.2387269379622,-20,0,42,2.134647073149681,84,290,6,10,8,
2,9,488.2640456774496,-20,0,53,2.9844957182804746,96,252,13,19,18,
3,3,-1957.6574725874116,-20,0,7,2.862858266135057,7,380,2,5,4,
4,10,-64.61124911301538,-20,0,2,3.082759589552879,138,216,15,15,14,
5,9,1833.4483250379326,-20,0,9,2.678632921477159,103,250,19,17,9,
6,7,-2112.540117383531,-20,0,2,2.9062892070412634,46,316,7,14,15,
7,4,-1119.1906503443893,-20,0,3,2.9657340718309086,4,365,8,10,11,
8,1,422.07970260391534,105,1,2,3.154358594492078,0,393,2,3,0,
9,10,1381.5188596584214,-20,0,5,3.429767962048451,125,217,13,20,23,
