episode,difficulty,reward,solver_score,solver_success,path_length,loss_avg,empty,wall,lava,treasure,enemy
0,1,1225.2999999999988,100,1,2,2.6122651548025995,1,393,2,0,2
1,1,-280.30000000000007,110,1,4,4.571826697935661,1,392,1,2,2
2,1,158.49999999999994,-20,0,4,3.1956992643574873,2,392,2,1,1
3,1,133.20000000000027,-20,0,1,2.0028744365647437,1,393,3,0,1
4,1,113.69999999999885,110,1,8,2.0433776059746744,1,391,2,1,3
5,1,391.00000000000045,105,1,4,2.3105243201057117,2,392,0,3,1
6,1,1312.4999999999986,100,1,3,2.324026842812697,1,392,1,2,2
7,1,-68.10000000000267,105,1,3,2.6236995817224185,3,391,2,1,1
8,1,1396.200000000002,100,1,2,2.516985507905483,2,392,0,1,3
9,1,1031.0999999999956,-20,0,2,2.5821511618296307,0,392,1,3,2
10,1,631.5999999999955,-20,0,4,2.5263070675730703,1,392,3,1,1
11,1,1126.299999999997,-20,0,1,3.0166254718105,1,393,1,1,2
12,1,1526.4000000000033,100,1,2,3.014171209136645,1,393,1,1,2
13,1,1070.8999999999955,100,1,5,2.917000631292661,1,392,1,1,3
14,1,462.1999999999973,-20,0,2,3.034478819270929,0,392,4,0,2
15,1,739.4999999999951,105,1,4,3.012903505464395,1,393,0,3,1
16,1,329.09999999999934,105,1,3,2.807096123198668,0,393,1,2,2
17,1,730.3999999999982,105,1,5,2.90544214228789,1,392,1,2,2
18,1,674.5999999999945,-20,0,2,2.980464182595412,1,392,4,0,1
19,1,837.3999999999974,-20,0,1,3.0788206580281257,1,393,2,0,2
20,1,1183.9000000000012,120,1,9,3.090880909562111,0,391,1,4,2
21,1,268.70000000000095,100,1,5,3.305797974963983,2,392,2,0,2
22,1,230.79999999999896,-20,0,1,3.1571001554528872,2,394,1,1,0
23,1,394.09999999999695,100,1,3,2.937028390268485,1,393,0,0,4
24,1,621.8999999999966,100,1,4,3.145064665575822,0,392,1,1,4
25,1,919.6000000000012,-20,0,1,2.8911646174391112,0,394,1,2,1
26,1,624.2999999999993,110,1,3,3.057672506670157,4,391,0,2,1
27,1,801.0999999999976,100,1,3,2.9672303437193235,1,394,1,0,2
28,1,300.6999999999977,125,1,7,3.011549194653829,1,391,1,5,0
29,1,1589.6000000000067,-20,0,5,2.9670751898984116,1,391,2,2,2
30,1,965.2999999999976,-20,0,4,2.801610704759757,1,392,1,2,2
31,1,-921.0000000000033,-20,0,3,2.7245730343461037,1,392,2,3,0
32,1,869.7999999999981,105,1,5,3.313554548919201,1,392,0,3,2
33,1,1407.9000000000042,100,1,2,3.0908553910255434,0,392,2,1,3
34,1,1058.5999999999965,105,1,5,3.4115865687529245,2,394,0,2,0
35,1,658.2999999999971,120,1,10,3.0716712474823,1,391,0,4,2
36,1,1395.0000000000068,100,1,2,3.3379336236914,1,393,0,0,4
37,1,-502.5000000000009,105,1,5,3.3827924113472303,1,392,1,3,1
38,1,218.89999999999893,100,1,2,3.0172556913892428,3,393,0,1,1
39,1,1355.100000000004,120,1,8,3.05587550252676,1,392,1,3,1
40,1,1292.4999999999973,100,1,2,3.1527366615335146,0,393,2,0,3
41,1,1796.400000000005,100,1,2,3.4411291752258935,2,391,2,2,1
42,1,700.6999999999986,100,1,2,3.6813265732924143,2,393,1,1,1
43,1,896.8999999999959,110,1,6,3.1539772458871207,2,393,0,3,0
44,1,540.7999999999996,100,1,4,3.4928904938697816,1,392,3,2,0
45,1,431.29999999999984,125,1,9,3.9571643471717834,2,391,1,3,1
46,1,227.40000000000086,-20,0,2,3.955816871523857,0,392,3,2,1
47,1,725.4999999999958,-20,0,2,3.8601704475283625,2,392,1,3,0
48,1,715.0999999999974,-20,0,2,3.861269519130389,1,392,2,3,0
49,1,799.9999999999975,100,1,2,3.5429452320933343,0,393,3,1,1
50,1,539.9999999999955,-20,0,1,3.6676615820328395,1,393,3,1,0
51,1,728.1999999999972,-20,0,5,3.6950472013155617,2,394,0,2,0
52,1,-211.5999999999993,105,1,3,3.4857255315780638,2,393,1,2,0
53,1,849.1999999999971,100,1,5,3.8376311926047006,2,392,2,1,1
54,1,459.6999999999996,-20,0,2,3.860482605099678,1,394,1,2,0
55,1,-411.10000000000423,100,1,5,3.9598767427603403,1,393,1,2,1
56,1,799.7999999999952,100,1,2,3.9641593619187674,2,395,1,0,0
57,1,529.7999999999995,100,1,3,4.216079896092415,2,393,0,1,2
58,1,1180.5999999999972,-20,0,3,4.13147841989994,3,393,1,1,0
59,1,704.599999999999,105,1,6,4.3505838433901465,1,392,1,1,3
60,1,773.9999999999978,-20,0,3,4.33791068593661,0,394,1,0,3
61,1,-67.60000000000305,100,1,7,4.20174714187781,1,393,0,0,4
62,1,1032.1999999999962,100,1,3,4.334454100728035,2,391,2,1,2
63,1,986.0999999999958,-20,0,3,4.255176664789517,2,394,1,0,1
64,1,425.99999999999807,-20,0,2,4.220309600432714,1,392,3,1,1
65,1,986.099999999997,-20,0,2,4.541150524814924,2,393,2,1,0
