episode,difficulty,reward,solver_score,solver_success,path_length,loss_avg,empty,wall,lava,treasure,enemy
0,1,-568.7000000000043,115,1,7,4.712993443789207,1,391,2,3,1
1,1,-356.5000000000001,-20,0,3,3.971643512745698,0,394,0,1,3
2,1,578.5999999999987,105,1,3,2.04701883961757,0,392,2,3,1
3,1,430.99999999999636,115,1,8,2.258067542066177,2,392,0,3,1
4,1,175.8999999999984,-20,0,3,2.2021608488758404,2,393,2,0,1
5,1,702.3999999999961,105,1,4,2.3195332019527752,3,393,1,1,0
6,1,1088.3000000000068,100,1,4,2.675039816399415,1,394,2,0,1
7,1,510.39999999999645,105,1,6,3.013408519824346,3,391,0,3,1
8,1,-456.80000000000405,-20,0,3,2.9117117673158646,1,393,1,3,0
9,1,892.8999999999975,100,1,2,2.8874081991116207,1,392,1,3,1
10,1,-176.2999999999996,100,1,4,2.948610466122627,4,392,0,0,2
11,1,697.1999999999983,100,1,5,3.3130067747831347,3,391,1,1,2
12,1,-94.89999999999972,110,1,8,3.0333835051457085,2,391,1,1,3
13,1,54.70000000000085,-20,0,4,3.282657738526662,0,393,0,4,1
14,1,-139.7000000000018,-20,0,3,3.116803115506967,1,393,1,2,1
15,1,442.1999999999964,105,1,3,3.327448686361313,2,391,2,2,1
16,1,1177.4000000000053,100,1,2,3.439325895309448,1,391,2,1,3
17,1,147.19999999999553,-20,0,2,3.4644984263181686,0,394,1,2,1
18,1,577.5999999999951,110,1,9,3.3660166678826013,0,392,1,3,2
19,1,791.4999999999961,-20,0,4,3.5775032814343772,1,391,2,3,1
20,1,-410.9000000000016,100,1,5,3.547388222614924,2,393,1,1,1
21,1,1388.5000000000048,105,1,6,3.951477434635162,3,391,0,2,2
22,1,403.49999999999613,110,1,6,3.807942061225573,0,394,0,3,1
23,1,700.6999999999947,-20,0,2,4.044989136656126,1,394,1,1,1
24,1,1830.1000000000108,100,1,2,3.8139945590496063,2,393,1,0,2
25,1,1006.8999999999949,100,1,2,4.085501852830251,1,393,1,0,3
26,1,1269.1999999999985,-20,0,2,4.301223509510359,1,391,2,2,2
27,1,1332.7000000000035,-20,0,2,4.0282109741369885,0,393,3,1,1
28,1,1290.9999999999975,105,1,3,4.0336468420426055,1,393,2,2,0
29,1,622.2999999999985,100,1,2,3.9279672753810884,3,392,2,0,1
30,1,888.8999999999949,-20,0,4,4.074566007653872,1,392,2,1,2
31,1,710.599999999995,-20,0,2,4.313508152763049,1,394,1,0,2
32,1,310.2999999999985,-20,0,4,3.96433973411719,1,394,1,2,0
33,1,1200.800000000002,-20,0,2,4.1041162488857905,1,394,2,1,0
34,1,-395.50000000000443,-20,0,1,4.335950778524081,1,395,0,1,1
35,1,133.70000000000076,100,1,5,4.232237402002017,4,393,0,1,0
36,1,1242.7000000000014,-20,0,4,4.489229136308034,0,392,2,2,2
37,1,400.09999999999815,-20,0,2,4.554711090524991,1,393,0,2,2
38,1,652.399999999997,105,1,4,4.1534161172310515,0,393,1,1,3
39,1,610.6999999999997,-20,0,4,4.283796890179317,1,392,2,3,0
40,1,-833.5000000000033,105,1,5,4.645547374288241,2,392,2,1,1
41,1,1351.0999999999995,105,1,4,4.300354606509209,0,392,4,2,0
42,1,391.6000000000001,-20,0,3,4.344218702316284,0,392,2,2,2
43,1,522.3999999999974,-20,0,2,4.492267218232155,0,392,2,4,0
44,1,338.20000000000005,100,1,5,4.195902843674024,3,393,0,2,0
45,1,975.599999999997,105,1,4,4.487589576244354,1,391,2,2,2
46,1,1470.2000000000012,-20,0,2,4.6521676001946135,0,393,1,2,2
47,1,1147.7999999999977,105,1,4,4.46289678255717,2,392,1,1,2
48,1,1438.000000000001,100,1,3,4.572630407214165,1,394,1,1,1
49,1,451.7999999999947,-20,0,2,4.7583832263946535,1,395,0,1,1
50,1,747.7999999999954,105,1,3,4.955033749143283,3,392,0,2,1
51,1,621.6999999999958,-20,0,2,4.668061056335767,1,392,1,2,2
52,1,5.699999999999125,-20,0,2,4.719925162990888,1,394,1,2,0
53,1,13.400000000000759,105,1,3,4.72473434150219,1,391,3,1,2
54,1,832.499999999995,-20,0,2,5.04265035589536,2,395,0,1,0
55,1,1473.799999999998,-20,0,3,5.106076887448629,2,393,0,2,1
56,1,928.2999999999984,100,1,4,4.9892640147606535,1,394,1,0,2
57,1,709.8999999999962,100,1,3,5.324174921512604,3,392,2,0,1
58,1,1439.7000000000007,105,1,2,5.4186897357304895,2,394,1,1,0
59,1,1248.6000000000026,100,1,3,5.294151169459025,2,392,2,0,2
60,1,1728.300000000009,100,1,2,5.457283872763316,2,392,1,2,1
61,1,1535.3000000000025,-20,0,2,5.595425900816918,1,392,1,1,3
62,1,1269.800000000005,100,1,5,5.621123447815577,1,393,0,2,2
63,1,825.6999999999952,-20,0,5,5.824033707181613,1,393,0,2,2
64,1,1389.7000000000012,105,1,2,5.523155523935954,0,393,1,2,2
65,1,1532.9000000000046,100,1,2,5.410843160152435,1,393,3,0,1
66,1,640.6999999999945,100,1,5,5.642683450977008,3,391,2,0,2
67,1,1161.499999999998,-20,0,2,5.643588766853014,0,396,0,1,1
68,1,1928.300000000006,-20,0,3,5.702191266218821,0,394,2,2,0
69,1,1719.300000000008,100,1,5,5.438792717059453,2,394,1,1,0
70,1,-106.29999999999956,105,1,3,5.576275112628937,1,391,2,2,2
71,1,724.4999999999983,-20,0,1,5.525858463843663,1,393,2,1,1
72,1,640.3999999999971,100,1,3,6.00653649866581,3,394,1,0,0
73,1,1579.7000000000014,100,1,2,5.332267330288887,1,393,2,1,1
74,1,1948.1000000000108,105,1,2,5.461702665686607,1,396,0,1,0
75,1,1426.1999999999991,-20,0,1,5.483868628938993,1,392,3,0,2
76,1,-388.1000000000017,100,1,3,5.459657422701517,1,393,3,1,0
77,1,1308.1000000000042,100,1,2,5.5862330275774,2,393,1,0,2
78,1,279.50000000000034,100,1,3,5.4164259101947145,2,395,0,0,1
79,1,1510.900000000004,100,1,4,5.340001983245214,4,391,1,1,1
80,1,420.0999999999947,-20,0,1,5.2327161173025765,1,393,1,1,2
81,1,1295.2999999999993,100,1,2,5.7142020360628765,1,393,1,0,3
82,1,1274.999999999999,100,1,2,5.659913476308187,2,393,0,1,2
83,1,739.5999999999979,105,1,4,5.563031359910965,2,393,1,1,1
84,1,1510.0000000000045,-20,0,4,5.535130448540052,0,391,4,3,0
85,1,670.0999999999964,110,1,7,5.502910570303599,2,392,1,2,1
86,1,1356.7000000000046,-20,0,2,5.618916634718577,1,394,2,0,1
87,1,1450.100000000004,100,1,4,5.511698653697968,1,393,1,1,2
88,1,1841.5000000000111,105,1,4,5.647203896045685,1,393,1,2,1
89,1,2048.8000000000084,100,1,3,5.665723043680191,1,393,1,1,2
90,1,-215.90000000000214,-20,0,2,5.878603489001592,2,392,3,1,0
91,1,493.1999999999988,100,1,3,5.871453667283058,2,394,2,0,0
92,1,950.099999999996,-20,0,2,5.9668430606524145,1,393,3,1,0
93,1,1536.100000000001,-20,0,1,6.014423016707102,0,391,2,3,2
94,1,920.1999999999987,-20,0,17,6.057259532411893,0,393,2,2,1
95,1,1356.2000000000025,105,1,4,6.324505077203114,1,394,1,1,1
96,1,655.3999999999976,100,1,4,6.35235433002313,1,395,0,1,1
97,1,476.699999999999,100,1,5,6.404688810706139,3,392,0,2,1
98,1,1693.2000000000103,100,1,4,5.926595906813939,0,393,1,0,4
99,1,2044.7000000000094,100,1,2,6.686289809942245,2,394,0,1,1
100,1,1057.199999999998,-20,0,2,6.58559219678243,0,395,1,1,1
101,1,996.1999999999965,100,1,4,6.700174678166707,1,393,1,0,3
102,1,626.799999999999,105,1,5,6.577987127701442,3,394,0,1,0
103,1,268.39999999999986,100,1,5,6.477251493533452,2,391,2,1,2
104,1,721.5999999999985,105,1,4,6.4076697619756064,2,392,1,2,1
105,1,1228.2000000000048,-20,0,2,7.494465205669403,3,394,1,0,0
106,1,1291.600000000005,105,1,4,7.326504727999369,0,393,1,2,2
107,1,1968.9000000000055,-20,0,2,6.95681835770607,0,392,1,2,3
108,1,1119.2999999999968,-20,0,2,7.421456882158915,0,393,2,1,2
109,1,2087.900000000009,105,1,4,7.065868822733561,0,394,0,1,3
110,1,2200.2000000000044,-20,0,3,7.123100066582362,2,394,1,1,0
111,1,2286.200000000006,100,1,3,6.600341511567434,0,395,1,1,1
112,1,1133.100000000009,-20,0,1,6.953284480571747,1,392,2,1,2
113,1,2269.100000000006,-20,0,3,6.6387926479180654,1,392,4,1,0
114,1,1137.499999999997,100,1,4,6.6058850220839185,1,391,4,1,1
115,1,956.7999999999976,100,1,3,7.048187382618586,2,393,0,0,3
116,1,2374.9000000000124,100,1,2,7.030858819882075,2,394,0,1,1
117,1,1579.2000000000048,105,1,5,7.124586463769277,2,392,0,2,2
118,1,2083.9000000000065,-20,0,2,6.922645215590795,1,393,3,1,0
119,1,1148.799999999996,105,1,3,6.994453143676122,2,393,2,1,0
