episode,difficulty,reward,solver_score,solver_success,path_length,loss_avg,empty,wall,lava,treasure,enemy,loss_list
0,8,2672.300000000014,100,1,6,1.2636351197278577,70,286,19,11,12,"[5.828778266906738, 5.995075225830078, 5.8086137771606445, 5.598117828369141, 5.867990970611572, 5.763994216918945, 5.783370494842529, 5.763956546783447, 5.0738630294799805, 5.865434169769287, 5.404062271118164, 5.603545665740967, 6.130125045776367, 5.854142665863037, 5.25634241104126, 6.333766937255859, 6.090936660766602, 5.586251258850098, 5.2373366355896, 6.192673683166504, 5.383640766143799, 5.554949760437012, 5.428295612335205, 5.1389970779418945, 5.223105430603027, 5.167299270629883, 5.886281967163086, 4.721953392028809, 5.079960823059082, 4.2372541427612305, 4.657483100891113, 4.99782657623291, 4.840279579162598, 4.263946533203125, 5.411240577697754, 4.334566116333008, 4.943700790405273, 3.9893693923950195, 4.458815097808838, 4.423842430114746, 5.309139251708984, 4.187129497528076, 4.766968727111816, 4.450332164764404, 4.1577324867248535, 3.768124580383301, 4.647522449493408, 3.1669702529907227, 4.2349653244018555, 3.5683112144470215, 3.2047603130340576, 2.9853062629699707, 3.995558261871338, 2.838001251220703, 2.4113266468048096, 2.6836202144622803, 3.454786777496338, 2.310929775238037, 2.058166027069092, 2.3135132789611816, 1.7029268741607666, 2.0633902549743652, 0.9890742301940918, 2.228847026824951, 1.815605878829956, 2.0126450061798096, 2.11752986907959, 1.7450405359268188, 1.7521942853927612, 1.5522140264511108, 2.0240871906280518, 1.4024142026901245, 2.111236095428467, 2.3473711013793945, 1.7929294109344482, 0.8416029214859009, 0.9636837244033813, 1.1932235956192017, 0.7909961938858032, 1.7121437788009644, 1.145787239074707, 2.0657432079315186, 1.8077619075775146, 0.8205597996711731, 1.3221911191940308, 1.3216031789779663, 1.0088708400726318, 0.9727782011032104, 1.7281650304794312, 0.5234847664833069, 0.9715793132781982, 0.5481827259063721, 1.435741901397705, 0.6540684700012207, 0.5415452122688293, 1.5141468048095703, 1.0011898279190063, 0.7912178635597229, 1.1237590312957764, 1.215132236480713, 0.9351661205291748, 0.5407147407531738, 0.6161119937896729, 0.9574720859527588, 1.215598702430725, 0.8243610858917236, 1.0320682525634766, 0.46562743186950684, 0.634138286113739, 0.5377056002616882, 0.8268257975578308, 0.6133784651756287, 1.5608922243118286, 0.6070684790611267, 1.2587671279907227, 1.2584046125411987, 0.9312458634376526, 1.439017653465271, 1.8235645294189453, 0.6504208445549011, 0.6768461465835571, 0.9187555313110352, 0.215066060423851, 0.6493430137634277, 0.7192404270172119, 0.41081270575523376, 1.1788250207901, 1.5836549997329712, 1.886075735092163, 0.6546414494514465, 0.9192242622375488, 1.3506629467010498, 0.9502543807029724, 0.4794112741947174, 1.1635401248931885, 0.03043590486049652, 1.1185276508331299, 0.5660266280174255, 0.40987467765808105, 1.7883145809173584, 1.465152621269226, 1.3110592365264893, 0.5218744874000549, 1.6761332750320435, 1.0214076042175293, 1.3752005100250244, 1.3157531023025513, 0.5170179009437561, 1.3278937339782715, 0.7473190426826477, 0.9737626314163208, 0.9212287664413452, 0.7199557423591614, 1.1540818214416504, 1.154563307762146, 0.9198777675628662, 1.8885350227355957, 1.2769477367401123, 0.7163441777229309, 0.7993967533111572, 0.9076290130615234, 0.6651127338409424, 1.1398650407791138, 1.0365235805511475, 0.8558976650238037, 1.0899865627288818, 1.754213809967041, 0.7254027128219604, 1.5644690990447998, 1.6711359024047852, 0.5412000417709351, 1.3768486976623535, 1.288894772529602, 0.9470587968826294, 2.132878065109253, 0.43859267234802246, 1.9210498332977295, 1.0323199033737183, 1.3831849098205566, 0.4369315505027771, 0.6095341444015503, 0.5214998126029968, 0.028147900477051735, 1.4123172760009766, 0.2150558978319168, 0.90452641248703, 0.7286250591278076, 1.5931209325790405, 0.4144444167613983, 2.310349941253662, 1.0160632133483887, 0.9731540679931641, 1.2200026512145996, 1.714112639427185, 0.9198179841041565, 0.41779136657714844, 0.4119985103607178, 0.21984854340553284, 0.6158644556999207, 0.2122483104467392, 1.3224883079528809, 1.050357460975647, 0.9224334359169006, 1.0230028629302979, 1.1751291751861572, 1.216310977935791, 0.9168986678123474, 0.7584586143493652, 1.3476779460906982, 1.018194556236267, 1.3638718128204346, 1.001741886138916, 1.0329941511154175, 0.8960033655166626, 1.0797587633132935, 0.9333178400993347, 0.6833712458610535, 0.7222808599472046, 0.8850759267807007, 0.6192073225975037, 0.32942575216293335, 1.0089777708053589, 1.0043169260025024, 0.6994891166687012, 1.2372050285339355, 0.623011589050293, 1.0715945959091187, 1.1842161417007446, 0.21225416660308838, 0.42935696244239807, 0.22560682892799377, 0.9245760440826416, 1.154594898223877, 1.3746999502182007, 1.5142388343811035, 0.9261568188667297, 0.6214383840560913, 0.915793240070343, 1.3238670825958252, 0.7177336812019348, 0.5169661641120911, 1.1078952550888062, 0.4707295000553131, 0.44567835330963135, 0.6158347129821777, 0.4142560362815857, 0.4456574320793152, 1.4303040504455566, 0.6257531642913818, 0.4145830273628235, 1.0787115097045898, 0.6159110069274902, 1.1683931350708008, 0.8201994299888611, 0.6523324251174927, 0.6136706471443176, 0.9184017181396484, 0.41233810782432556, 0.6139254570007324, 1.2747502326965332, 0.6272289752960205, 0.2650996446609497, 0.974074125289917, 0.8258550763130188, 1.296109676361084, 1.3866897821426392, 0.5086856484413147, 0.006903457920998335, 1.2954574823379517, 1.5942713022232056, 1.0399301052093506, 0.6230800747871399, 0.3182099461555481, 0.8769136071205139, 1.4304945468902588, 1.0256131887435913, 1.513957142829895, 0.7195997834205627, 1.3613102436065674, 1.033756136894226, 0.6222435235977173, 1.131188988685608, 0.6461278200149536, 0.8499454259872437, 0.2172035127878189, 0.8097625374794006, 0.013635847717523575, 2.113330125808716, 0.8734094500541687, 0.6224364638328552, 0.010207019746303558, 0.4250304400920868, 0.8254434466362, 0.4693323075771332, 0.6427658796310425, 0.4148876368999481, 1.010283350944519, 0.8213701248168945, 0.9520907998085022, 0.6191344261169434, 0.6152381896972656, 0.514727771282196, 0.7144664525985718, 1.3842146396636963, 0.9492884278297424, 0.6125732064247131, 0.819217324256897, 0.9174575805664062, 0.5169253945350647, 0.5201503038406372, 0.41508030891418457, 1.2776672840118408, 0.22118283808231354, 0.6117802858352661, 0.6553118228912354, 0.8804795742034912, 0.20771236717700958, 0.9722970128059387, 0.2090478539466858, 0.20916703343391418, 0.41512638330459595, 1.0817841291427612, 0.7451605200767517, 0.6703982353210449, 0.20951266586780548, 0.20936639606952667, 0.9277878999710083, 0.20964869856834412, 0.007694397121667862, 0.5151343941688538, 0.4177461564540863, 0.7450198531150818, 0.9758375883102417, 0.6242914199829102, 0.20995113253593445, 1.0834537744522095, 0.720538318157196, 0.41234907507896423, 1.0262649059295654, 0.719074010848999, 0.7253562808036804, 0.9262252449989319, 0.8491181135177612, 0.8698476552963257, 0.6105599999427795, 1.0887031555175781, 0.6058299541473389, 0.5175710916519165, 0.8091298341751099, 1.160510540008545, 0.048893917351961136, 0.6945830583572388, 0.6670200824737549, 1.6579928398132324, 0.21323241293430328, 0.6485581398010254, 0.5075502395629883, 0.7271600961685181, 0.602795422077179, 0.7236352562904358, 0.6219489574432373, 0.316927433013916, 0.30489376187324524, 0.219501331448555, 0.713966965675354, 1.1257119178771973, 0.8191961050033569, 0.21342532336711884, 0.41336145997047424, 2.0271782875061035, 0.5154873728752136, 0.7190078496932983, 0.416678786277771, 0.30889827013015747, 0.2117365300655365, 0.001990118995308876, 0.20928862690925598, 0.30750519037246704, 1.0486042499542236, 0.8554397821426392, 1.1827526092529297, 1.1518077850341797, 0.5195591449737549, 0.3917631506919861, 0.9718704223632812, 0.18133820593357086, 0.0018721859669312835, 0.20984670519828796, 0.23350396752357483, 0.4161321520805359, 0.8313773274421692, 0.6190111637115479, 0.4189031720161438, 1.3115729093551636, 0.1817309856414795, 0.41545242071151733, 0.8731615543365479, 1.5881105661392212, 0.515067994594574, 0.4162241220474243, 0.6131083965301514, 0.4784439504146576, 0.9233152866363525, 0.7243431806564331, 0.229482501745224, 0.6982636451721191, 0.3226807713508606, 0.826926589012146, 0.2086227685213089, 0.7222174406051636, 0.46734458208084106, 0.9236912727355957, 0.8013402819633484, 0.6949790716171265, 0.6167625188827515, 1.3680932521820068, 0.6929682493209839, 0.6710302233695984, 0.38684752583503723, 0.8707298040390015, 1.5837647914886475, 0.21261540055274963, 0.42127376794815063, 1.0873560905456543, 0.41776010394096375, 0.30599138140678406, 0.6232290863990784, 0.20634809136390686, 0.666495680809021, 0.8483531475067139, 1.1830341815948486, 0.016105646267533302, 1.0708599090576172, 0.5884082913398743, 0.9895959496498108, 0.19808025658130646, 0.43065327405929565, 1.2976784706115723, 0.7520155906677246, 1.0133699178695679, 0.7209388613700867, 0.5685796737670898, 0.5945979356765747, 0.7994198799133301, 0.6185927391052246, 0.3877815008163452, 0.9287137389183044, 0.21038353443145752, 0.4081181287765503, 0.6473555564880371, 0.6294260621070862, 0.9869614839553833, 0.000978704309090972, 0.5324690341949463, 1.1437760591506958, 0.38944557309150696, 1.0580921173095703, 0.8027468919754028, 0.5925899147987366, 0.18467876315116882, 0.21228092908859253, 0.7931743264198303, 1.0397969484329224, 0.4194965958595276, 1.298654556274414, 0.40288686752319336, 0.467719703912735, 0.9474842548370361, 0.3784025013446808, 0.6151880025863647, 0.018480580300092697, 0.6586652994155884, 0.41596028208732605, 0.38947367668151855, 0.6664988398551941, 1.2294015884399414, 0.562872052192688, 0.5262327194213867, 0.5974854230880737, 0.5641035437583923, 0.21291297674179077, 0.8758756518363953, 1.212874412536621, 1.0021377801895142, 0.3876621425151825, 0.7302472591400146, 1.1655359268188477, 0.3846122920513153, 0.3644144833087921, 0.021503794938325882, 0.859990656375885, 0.7730052471160889, 0.35786741971969604, 1.0150868892669678, 0.3959813117980957, 0.8043055534362793, 1.3127694129943848, 0.4439442455768585, 0.595187246799469, 0.9970526695251465, 0.6201860904693604, 0.9231914281845093, 0.5699105858802795, 0.5653350353240967, 0.5987053513526917, 0.9250682592391968, 1.4546574354171753, 0.19730748236179352, 1.069615364074707, 0.8171494603157043, 1.0516490936279297, 0.5633591413497925, 1.4053642749786377, 0.7192200422286987, 0.3545904755592346, 1.0190842151641846, 0.6906958818435669, 0.5571405291557312, 0.21353484690189362, 0.7241949439048767, 1.0239455699920654, 0.89460289478302, 0.38849005103111267, 0.592582643032074, 0.18678532540798187, 0.796444833278656, 0.9406076073646545, 1.257554054260254, 0.5292048454284668, 0.3895987570285797, 1.193601369857788, 1.0025279521942139, 0.42212873697280884, 0.17969726026058197, 0.7715536952018738, 0.2128443717956543, 1.7938581705093384]"
1,5,1412.6000000000013,115,1,25,3.784364004331486,35,334,5,15,9,
2,9,-622.6000000000038,-20,0,2,3.631282142549753,96,263,13,15,11,
3,9,2573.5375000000126,105,1,18,3.0393315674737096,104,250,15,13,16,
4,8,2700.500000000014,100,1,37,2.813449746998958,82,291,7,7,11,
5,1,383.69999999999885,100,1,2,3.69877990474614,0,395,0,0,3,
6,10,2584.3666666666813,-20,0,13,3.729133746686081,136,212,17,14,19,
7,2,1625.0000000000055,110,1,6,3.641475105515371,11,378,2,5,2,
8,6,-258.1000000000017,-20,0,22,4.588616159396867,43,317,14,11,13,
9,8,2710.9000000000146,-20,0,20,3.815464746952057,70,288,10,13,17,
